Date,Object,Price,Location,Category,Object Type,Material,Link
2018-11-07 00:00:00,"Sold Nov 7 , 2018 GROUP OF 4 SAHARA NEOLITHIC ANGELFISH POINTS ",29,United States,pre-historic | ,weapon | ,?,https://www.ebay.com/itm/GROUP-OF-4-SAHARA-NEOLITHIC-ANGELFISH-POINTS/173617677868?hash=item286c6b862c%3Ag%3AcMcAAOSwzCtb2mGX&LH_Auction=1
2019-04-02 00:00:00,"Sold Apr 2 , 2019 BEAUTIFUL ANCIENT ROMAN LEGIONARY SILVER SEAL RING leg X11 ' gemini ' VERY RARE ",291.24,0,roman | ,jewellery | tool | ,metal | ,"Didcot, United Kingdom"
2019-04-27 00:00:00,"Sold Apr 27 , 2019 ROMAN INDUS VALLEY POLYCHROME BOWL , RARE ANCIENT ARTIFACT ( 3 ) ",64.57,0,roman | india | ,vessel | ,?,"Forest Row, East Sussex, United Kingdom"
2019-03-11 00:00:00,"Sold Mar 11 , 2019 Roman Old Unique Agate Banded Stone Old Lovely Bead # 10 ",9.99,Thailand,roman | ,jewellery | ,stone | ,https://www.ebay.com/itm/Roman-Old-Unique-Agate-Banded-Stone-Old-Lovely-Bead-10C/273748082885?hash=item3fbca840c5%3Ag%3AO4oAAOSw0xxcgB9v&LH_Auction=1
2019-03-30 00:00:00,"Sold Mar 30 , 2019 FANTASTIC VERY RARE ANCIENT GREEK BRONZE RING SEAL HEAD OF ATHNAS.8,6 s.20 MM ",52.58,United Kingdom,greek | ,jewellery | tool | ,metal | ,https://www.ebay.com/itm/FANTASTIC-VERY-RARE-ANCIENT-GREEK-BRONZE-RING-SEAL-HEAD-OF-ATHNAS-8-6-GR-20-MM/254170040512?hash=item3b2db708c0%3Ag%3A-hEAAOSwUf9ckSL3&LH_Auction=1
2019-02-02 00:00:00,"Sold Feb 2 , 2019 extremely RARE NEAR eastern SEAL PENDANT UNCERTAIN KING.13,0 s.20 MM ",8.61,United Kingdom,near east | ,jewellery | tool | ,?,https://www.ebay.com/itm/EXTREMEL-RARE-NEAR-EASTEREN-SEAL-PENDANT-UNCERTAIN-KING-13-0-GR-20-MM/254090866904?hash=item3b28fef0d8%3Ag%3A6SsAAOSwvpVcSDvg&LH_Auction=1
2019-03-10 00:00:00,"Sold Mar 10 , 2019 VIKING/ANGLO SAXON FACE MASK BROOCH PIECE , METAL DETECTING FIND ",16.43,United Kingdom,medieval | viking | ,clothing | mask | ,metal | ,https://www.ebay.com/itm/VIKING-ANGLO-SAXON-FACE-MASK-BROOCH-PIECE-METAL-DETECTING-FIND/401720323263?hash=item5d8865acbf%3Ag%3A860AAOSwQKdce%7Elg&LH_Auction=1
2018-12-07 00:00:00,"Sold Dec 7 , 2018 Ancient Viking Old Bronze FABULOUS STATUS Ring Runic Ornament VERY RARE ",24.5,Russia,viking | ,jewellery | decoration | ,metal | ,https://www.ebay.com/itm/Ancient-Viking-Old-Bronze-FABULOUS-STATUS-Ring-Runic-Ornament-VERY-RARE/183556801803?hash=item2abcd6850b%3Ag%3AOPIAAOSwzcNb%7ESYJ&LH_Auction=1
2019-02-24 00:00:00,"Sold Feb 24 , 2019 ANCIENT ROMAN BRONZE ARROWHEAD BATTLE RELIC ",12.42,United Kingdom,roman | ,weapon | ,metal | ,https://www.ebay.com/itm/ANCIENT-ROMAN-BRONZE-ARROWHEAD-BATTLE-RELIC/153379391284?hash=item23b61fc734%3Ag%3AtW0AAOSw9ZtcZqLM&LH_Auction=1
2018-11-02 00:00:00,"Sold Nov 2 , 2018 Ancient Roman Senatorial Silver ring SNAKE Amazing Stunning ",34.51,Bulgaria,roman | ,jewellery | ,metal | ,https://www.ebay.com/itm/Ancient-Roman-Senatorial-Silver-ring-SNAKE-Amazing-Stunning/132824231006?hash=item1eecf0ec5e%3Ag%3Anj4AAOSwtc9byDqW&LH_Auction=1
