Date,Object,Price,Location,Category,Object Type,Material,Link
2019-01-27 00:00:00,"Sold  Jan 27, 2019 LOT OF 4 ROMAN COINS - UNKNOWN UNIDENTIFIED - RARE ? #41",1.76,United States,Roman,coin,,https://www.ebay.com/itm/LOT-OF-4-ROMAN-COINS-UNKNOWN-UNIDENTIFIED-RARE-41/153345372840?hash=item23b418b2a8%3Ag%3ABRgAAOSwGI5cQzV5&LH_Auction=1
2019-02-06 00:00:00,"Sold  Feb 6, 2019 RARE Celtic Ring Money Proto Coin From 800 BC Artifact Valued $300 Ancient",15.5,Czech Republic,Celt,coin,,https://www.ebay.com/itm/RARE-Celtic-Ring-Money-Proto-Coin-From-800-BC-Artifact-Valued-300-Ancient/273679223830?hash=item3fb88d8c16%3Ag%3AxS8AAOSwAGFcT8wL&LH_Auction=1
2019-03-01 00:00:00,"Sold  Mar 1, 2019 Ancient Viking Enamel Bronze pendant AMULET GREAT SAVE",32.15,,Viking,jewellery ,metal ,
2018-12-30 00:00:00,"Sold  Dec 30, 2018 5600Y.O:GREAT AX 133mms DANISH STONE AGE NEOLITHIC RECYCLED FLINT MEGALITH TOMB",65.0,,Pre-historic,tool ,stone ,
2018-12-27 00:00:00,"Sold  Dec 27, 2018 rare ancient solid ring roman silver stunning artifact rare type with stone",0.99,Morocco,Roman,jewellery ,stone metal ,https://www.ebay.com/itm/rare-ancient-solid-ring-roman-silver-stunning-artifact-rare-type-with-stone/254037872384?hash=item3b25d64f00%3Ag%3ADS8AAOSwBfhcICfM&LH_Auction=1
2018-12-21 00:00:00,"Sold  Dec 21, 2018 SCARCE CRUSADERS BRONZE LONG SHOT ARROWHEAD CIRCA 1000-1100 AD",8.61,Cyprus,Near east,weapon ,metal ,https://www.ebay.com/itm/SCARCE-CRUSADERS-BRONZE-LONG-SHOT-ARROWHEAD-CIRCA-1000-1100-AD/392193615528?hash=item5b508fa6a8%3Ag%3A62UAAOSwrwhbwNQ7&LH_Auction=1
2019-02-24 00:00:00,"Sold  Feb 24, 2019 large Neolithic / Mesolithic ancient flint arrow head metal detecting detector",30.46,United Kingdom,Pre-historic,weapon tool ,metal ,https://www.ebay.com/itm/large-Neolithic-Mesolithic-ancient-flint-arrow-head-metal-detecting-detector/372583377925?hash=item56bfb32c05%3Ag%3AqdwAAOSwQLVcUOYZ&LH_Auction=1
2019-01-16 00:00:00,"Sold  Jan 16, 2019 Old phoenician wonderous  old gigantic glass bead",15.0,Thailand,Near east,jewellery ,glass ,https://www.ebay.com/itm/Old-phoenician-wonderous-old-gigantic-glass-bead/143087477002?hash=item2150ada10a%3Ag%3Ah2EAAOSwgotcOMFX&LH_Auction=1
2019-02-18 00:00:00,"Sold  Feb 18, 2019 ANCIENT VIKING ROMAN  BRONZE  BRACELET museum quality artifact UNIQUE Stuning",15.0,Morocco,Viking,jewellery ,metal ,https://www.ebay.com/itm/ANCIENT-VIKING-ROMAN-BRONZE-BRACELET-museum-quality-artifact-UNIQUE-Stuning/254128902176?hash=item3b2b435020%3Ag%3AEswAAOSw8lhbrYld&LH_Auction=1
2019-02-21 00:00:00,"Sold  Feb 21, 2019 ** AMAZING **Ancient Roman Silver ring ** STAG ** on Red stone",152.5,Morocco,Roman,jewellery ,stone metal ,https://www.ebay.com/itm/AMAZING-Ancient-Roman-Silver-ring-STAG-on-Red-stone/113641687649?hash=item1a75928a61%3Ag%3Ai9AAAOSw4AJcZfwE&LH_Auction=1
2019-01-20 00:00:00,"Sold  Jan 20, 2019 ancient Egyptian clay flatback figurine of thoth as a baboon",22.51,,Egyptian,statue ,terracotta ,
2019-02-14 00:00:00,"Sold  Feb 14, 2019 ANCIENT EGYPTIAN GLAZED FAIENCE STATUETTE SCARAB ON FACE VERY UNUSUAL",30.46,United Kingdom,Egyptian,statue,glass ,https://www.ebay.com/itm/ANCIENT-EGYPTIAN-GLAZED-FAIENCE-STATUETTE-SCARAB-ON-FACE-VERY-UNUSUAL/153365993255?hash=item23b5535727%3Ag%3AcSMAAOSw0%7EpcWbeM&LH_Auction=1
2019-02-14 00:00:00,"Sold  Feb 14, 2019 CIRCA 664-332BC ANCIENT EGYPTIAN GLAZED FAIENCE USHABTI SHABTI 17CM WITH HEIROGL",78.14,United Kingdom,Egyptian,statue ,glass ,https://www.ebay.com/itm/CIRCA-664-332BC-ANCIENT-EGYPTIAN-GLAZED-FAIENCE-USHABTI-SHABTI-17CM-WITH-HEIROGL/153365992194?hash=item23b5535302%3Ag%3AlfQAAOSw1XNcWbcg&LH_Auction=1
2019-02-28 00:00:00,"Sold  Feb 28, 2019 RARE BEAUTIFUL ANCIENT EGYPTIAN STONE TABLET WITH CARVED FOOT 300 B.C. (1)",9.93,United Kingdom,Egyptian,text ,stone ,https://www.ebay.com/itm/RARE-BEAUTIFUL-ANCIENT-EGYPTIAN-STONE-TABLET-WITH-CARVED-FOOT-300-B-C-1/333085645710?hash=item4d8d739b8e%3Ag%3AHUYAAOSwkGJcbrdV&LH_Auction=1
2018-12-26 00:00:00,"Sold  Dec 26, 2018 Rare Middle Eastern Stone Intaglio Silver? Signet Ring Ancient Islamic Antique",16.5,United States,Near east,jewellery ,stone metal ,https://www.ebay.com/itm/Rare-Middle-Eastern-Stone-Intaglio-Silver-Signet-Ring-Ancient-Islamic-Antique/273618772740?hash=item3fb4f32304%3Ag%3APDwAAOSw6X1b-EXo&LH_Auction=1
2019-02-02 00:00:00,"Sold  Feb 2, 2019 Funerary Ancient Egyptian Faience Ushabti-Shabti-Statue Figure, Circa 600-300 BC",20.0,Canada,Egyptian,statue,glass ,https://www.ebay.com/itm/Funerary-Ancient-Egyptian-Faience-Ushabti-Shabti-Statue-Figure-Circa-600-300-BC/163498573032?hash=item2611463ce8%3Ag%3ALOYAAOSwqrZcRjfy&LH_Auction=1
2019-01-20 00:00:00,"Sold  Jan 20, 2019 MEDIEVAL CRUSADER AGE SILVER ENGRAVED RING,FLEUR-DE-LIS 12-13 AD",74.16,United Kingdom,Near east,jewellery ,metal ,https://www.ebay.com/itm/MEDIEVAL-CRUSADER-AGE-SILVER-ENGRAVED-RING-FLEUR-DE-LIS-12-13-AD/254069528494?hash=item3b27b957ae%3Ag%3A9dIAAOSwxLFcOciU&LH_Auction=1
2018-12-09 00:00:00,"Sold  Dec 9, 2018 Аncient iron arrowheads Vikings, Kievan Rus 10-13 AD № 400/6.",9.99,,Viking,weapon ,metal ,
2018-12-29 00:00:00,"Sold  Dec 29, 2018 BEAUTIFUL ANCIENT EGYPTIAN AMULET 300 BC (10) LARGE 5 Cm 69 Grams",13.91,United Kingdom,Egyptian,jewellery ,,https://www.ebay.com/itm/BEAUTIFUL-ANCIENT-EGYPTIAN-AMULET-300-BC-10-LARGE-5-Cm-69-Grams/312394581141?hash=item48bc2b0495%3Ag%3AciIAAOSwvNVcHmf4&LH_Auction=1
2019-02-20 00:00:00,"Sold  Feb 20, 2019 AUTHENTIC ANCIENT ROMAN ERA GLASS COSMETICS JAR / BOTTLE - L191",22.51,United Kingdom,Roman,vessel ,glass ,https://www.ebay.com/itm/AUTHENTIC-ANCIENT-ROMAN-ERA-GLASS-COSMETICS-JAR-BOTTLE-L191/254114461712?hash=item3b2a66f810%3Ag%3AH8AAAOSwpYpcXYi3&LH_Auction=1
2018-12-28 00:00:00,"Sold  Dec 28, 2018 Roman Lead Sling Shot",7.28,,Roman,weapon ,metal ,
2019-01-18 00:00:00,"Sold  Jan 18, 2019 Amazing Ring Amulet Antique Egyptian Ancient Civilisation Faience Eye Of Horus",33.0,Canada,Egyptian,jewellery ,glass ,https://www.ebay.com/itm/Amazing-Ring-Amulet-Antique-Egyptian-Ancient-Civilisation-Faience-Eye-Of-Horus/192784741141?hash=item2ce2ddb315%3Ag%3A1cwAAOSwgyZcNRhW&LH_Auction=1
2019-01-25 00:00:00,"Sold  Jan 25, 2019 Stunning Unique Ancient Roman Silver ring Senatorial Legionary ""Credo""",0.01,Bulgaria,Roman,jewellery ,metal ,https://www.ebay.com/itm/Stunning-Unique-Ancient-Roman-Silver-ring-Senatorial-Legionary-Credo/173748254527?hash=item287433f73f%3Ag%3AhCIAAOSwwkRcQiiq&LH_Auction=1
