Object,Price,Figure
"Sold  Dec 9, 2018 RARE LA TENE CULTURE BRONZE FIBULA BROOCH - COMPLETE - BEAUTIFUL!",$3.25,9738.jpg
"Sold  Dec 9, 2018 ANCIENT CELTIC WARRIORS BRONZE BELT DECORATIONS - 400/300 B.C.",$1.00,3092.jpg
"Sold  Dec 9, 2018 SUPERB ANCIENT CELTIC BRONZE SOLAR DECORATION - 200 BC - RARE!",$5.50,2520.jpg
"Sold  Dec 9, 2018 SCARCE CELTIC BRONZE DECORATED FIBULA BROOCH WITH TWO PINS - 400 BC - RARE",$5.50,11780.jpg
"Sold  Dec 9, 2018 BRONZE AGE SOLAR FIBULA BROOCH - 800 BC - RARE",$1.00,10096.jpg
"Sold  Dec 8, 2018 ANCIENT BRONZE BRACELET TWO SNAKE HEADS",$2.99,6530.jpg
"Sold  Dec 8, 2018  Perfect-Ancient-Celtic-Bronze-Ring-Pendant-Proto-Money",$4.99,8693.jpg
"Sold  Dec 8, 2018 RARE LATENE PERIOD BRONZE FIBULA",$4.99,4548.jpg
"Sold  Dec 7, 2018 Ancient Celtic bronze ornament",$2.60,2579.jpg
"Sold  Dec 6, 2018 Sword of the Viking. The Vikings. Combat Sword. 84 cm",$910.00,9446.jpg
"Sold  Dec 6, 2018 Sword of the Viking. The Vikings. Combat Sword.",$481.00,11635.jpg
"Sold  Dec 6, 2018 Big Sword of the Viking. The Vikings. Combat Sword.",$511.00,10666.jpg
"Sold  Dec 6, 2018 ** BEAUTIFULL ** Ancient CELTIC Bronze ring ** TWO HORSES **",$54.00,10565.jpg
"Sold  Dec 5, 2018 4 Ancient Celtic Glass Beads Celts VERY RARE!  TOP !!",$13.50,11870.jpg
"Sold  Dec 3, 2018 Scythian ritual sword / saber. Ritual sword murder.",$207.50,11286.jpg
"Sold  Dec 3, 2018 Scythian ritual sword / saber. Ritual sword murder.",$300.00,11286.jpg
"Sold  Dec 3, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$306.99,1593.jpg
"Sold  Dec 3, 2018 Arrowheads The Khazars 5th century. Different types of arrows and other accessor",$210.05,1593.jpg
"Sold  Dec 3, 2018 Helmet of ancient Rus-12 century - ""Polovtsy"". Original condition. Without resto",$504.00,8231.jpg
