Date,Object,Price,Location,Category,Link
2018-11-26 00:00:00,"Sold  Nov 26, 2018 Natural Persian Islamic Banded Carnelian ring  ring 6.55-gm sizes us:9.5",9.99,United States,islamic,https://www.ebay.com/itm/Natural-Persian-Islamic-Banded-Carnelian-ring-ring-6-55-gm-sizes-us-9-5/192730376993?hash=item2cdfa02b21%3Ag%3APjUAAOSwgJ1bUjtr&LH_Auction=1
2018-10-30 00:00:00,"Sold  Oct 30, 2018 ANCIENT BRONZE EARLY CELTIC AXE #2",64.0,Ukraine,celt,https://www.ebay.com/itm/ANCIENT-BRONZE-EARLY-CELTIC-AXE-2/183494850153?hash=item2ab9253669%3Ag%3AQbgAAOSw-HRbywNF&LH_Auction=1
2019-01-03 00:00:00,"Sold  Jan 3, 2019 Antique Perian Islamic Calligraphic Ceramic Bowl With Image #2W",41.0,Thailand,islamic,https://www.ebay.com/itm/Antique-Perian-Islamic-Calligraphic-Ceramic-Bowl-With-Image-2W/183602618117?hash=item2abf919f05%3Ag%3A-MsAAOSwfvlbzzOR&LH_Auction=1
2018-12-06 00:00:00,"Sold  Dec 6, 2018 Yemeni Old Agate Carnelian Stone With Wonderful Writing Quran Ayatul Kursi T2",38.0,Thailand,islamic,https://www.ebay.com/itm/Yemeni-Old-Agate-Carnelian-Stone-With-Wonderful-Writing-Quran-Ayatul-Kursi-T2/323577644884?hash=item4b56bb0754%3Ag%3AUbEAAOSw9z1cAqJ6&LH_Auction=1
2018-12-19 00:00:00,"Sold  Dec 19, 2018 Ancient Celtic AE ring money very fine Circa 500 BC 27 mm 13.6 grams",0.99,United States,celt,https://www.ebay.com/itm/Ancient-Celtic-AE-ring-money-very-fine-Circa-500-BC-27-mm-13-6-grams/254019550637?hash=item3b24bebdad%3Ag%3A7e4AAOSwcDdcDZcW&LH_Auction=1
2018-12-23 00:00:00,"Sold  Dec 23, 2018 beautiful CELTIC DECORATED HAIR PIN",9.99,Bosnia and Herzegovina,celt,https://www.ebay.com/itm/beautiful-CELTIC-DECORATED-HAIR-PIN/273613708011?hash=item3fb4a5daeb%3Ag%3AYRgAAOSwF5VcFp04&LH_Auction=1
2018-11-18 00:00:00,"Sold  Nov 18, 2018 Antique Islamic Ottoman Turkish Lacquer Wooden Snuff Tobacco Box",61.0,Germany,islamic,https://www.ebay.com/itm/Antique-Islamic-Ottoman-Turkish-Lacquer-Wooden-Snuff-Tobacco-Box/223226660779?hash=item33f95887ab%3Ag%3A9UkAAOSwCplb6Gyt&LH_Auction=1
2019-01-11 00:00:00,"Sold  Jan 11, 2019 Sword of the Viking. The Vikings. Big Battle/Combat sword.",999.0,Germany,viking,https://www.ebay.com/itm/Sword-of-the-Viking-The-Vikings-Big-Battle-Combat-sword/273628594519?hash=item3fb5890157%3Ag%3ACHAAAOSwn6JbyfQA&LH_Auction=1
2018-11-22 00:00:00,"Sold  Nov 22, 2018 Antique Large Islamic Glazed Pottery Vase.",0.99,Israel,islamic,https://www.ebay.com/itm/Antique-Large-Islamic-Glazed-Pottery-Vase/223227803064?hash=item33f969f5b8%3Ag%3A9-oAAOSwcldUY0Kx&LH_Auction=1
2018-12-17 00:00:00,"Sold  Dec 17, 2018 Turkey Ottoman Empire, Old Rare Islamic, Arabic religious Brochure, authentic!!!",9.99,Bulgaria,islamic,https://www.ebay.com/itm/Turkey-Ottoman-Empire-Old-Rare-Islamic-Arabic-religious-Brochure-authentic/332932249924?hash=item4d844ef944%3Ag%3A-7IAAOSwk3Fa9YgQ&LH_Auction=1
