Object,Price,Location,Seller,Link
"Sep 29, 2019 HIGHLY DETAILED ANCIENT CELTIC BRACELET ARMBAND CIRCA. 900-700BCE",$30.51,"Gisleham, United Kingdom",antiquitybox,https://www.ebay.com/itm/HIGHLY-DETAILED-ANCIENT-CELTIC-BRACELET-ARMBAND-CIRCA-900-700BCE/264474367643?hash=item3d93e6969b%3Ag%3A4kMAAOSwca1dhSH%7E&LH_Auction=1
"Sep 29, 2019 ANCIENT CELTIC  BRONZE  RING EVIL EYE MOTIFS",$4.99,"Tem, Romania",zeus-olimp1961,https://www.ebay.com/itm/ANCIENT-CELTIC-BRONZE-RING-EVIL-EYE-MOTIFS/401895338210?hash=item5d92d430e2%3Ag%3AzEgAAOSwI-Zdh4vc&LH_Auction=1
"Sep 29, 2019 A254. Celtic style bronze ring money.Lot of 2",$12.00,"Pavlikeni, Bulgaria",axelina3,https://www.ebay.com/itm/A254-Celtic-style-bronze-ring-money-Lot-of-2/333337430154?hash=item4d9c75888a%3Ag%3AWBIAAOSwzkRdWY2E&LH_Auction=1
"Sep 29, 2019 Roman  Celtic ancient 8 brooches fibula 1 - 3 century AD",$29.75,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-3-century-AD/163877926921?hash=item2627e2b809%3Ag%3A7r0AAOSwezddimL-&LH_Auction=1
"Sep 29, 2019 Roman  Celtic ancient 8 brooches fibula 1 - 3 century AD",$33.25,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-3-century-AD/163877926921?hash=item2627e2b809%3Ag%3A7r0AAOSwezddimL-&LH_Auction=1
"Sep 29, 2019 Roman  Celtic ancient 8  brooches fibula 1 - 3 century AD",$40.00,"UA, Ukraine",tony.seller,https://www.ebay.com/itm/Roman-Celtic-ancient-8-brooches-fibula-1-3-century-AD/163877915616?hash=item2627e28be0%3Ag%3A8GEAAOSwFG1dimHB&LH_Auction=1
"Sep 29, 2019 Un researched Iron Age / Celtic bronze strap toggle metal detecting detector",$14.14,"Pontefract, West Yorkshire, United Kingdom",craig20050,https://www.ebay.com/itm/Un-researched-Iron-Age-Celtic-bronze-strap-toggle-metal-detecting-detector/392427598992?hash=item5b5e81f490%3Ag%3AYJgAAOSw22ddfi6K&LH_Auction=1
"Sep 29, 2019 Celtic Tetradrachm, Bronze, Kugelwange Type, horse, Serbia, 3rd–2nd Century BC",$26.55,"Wien, Austria",agora-wien,https://www.ebay.com/itm/Celtic-Tetradrachm-Bronze-Kugelwange-Type-horse-Serbia-3rd-2nd-Century-BC/163862703543?hash=item2626fa6db7%3Ag%3AeWEAAOSwvIJdfWB9&LH_Auction=1
"Sep 29, 2019 Ancient Celtic Bronze Wedding Ring Circa 100 BC - 200 AD Very Rare",$10.49,"EU, France",martichworldcoins7,https://www.ebay.com/itm/Ancient-Celtic-Bronze-Wedding-Ring-Circa-100-BC-200-AD-Very-Rare/223676258570?hash=item341424d90a%3Ag%3AMu4AAOSw8mRdh41k&LH_Auction=1
"Sep 28, 2019 MUSEUM QUALITY CELTIC GOLD SNAKE RING CIRCA 300-100 BC - 22 Carats",$616.00,"CYPRUS, Cyprus",ancientground,https://www.ebay.com/itm/MUSEUM-QUALITY-CELTIC-GOLD-SNAKE-RING-CIRCA-300-100-BC-22-Carats/392432938172?hash=item5b5ed36cbc%3Ag%3A89oAAOSwyaxdglzK&LH_Auction=1
