Object,Price,Location,Seller,Link
"Sep 22, 2019 BYZANTINE BRONZE SOLIDUS BARREL WEIGHT CIRCA 700-800AD",$4.34,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/BYZANTINE-BRONZE-SOLIDUS-BARREL-WEIGHT-CIRCA-700-800AD/153641496058?hash=item23c5bf2dfa%3Ag%3A9KQAAOSwdjtde3nw&LH_Auction=1
"Sep 22, 2019 BYZANTINE BRONZE CROSS WITH INSCRIPTIONS ON TWISTED LOOP CIRCA 700AD",$24.59,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/BYZANTINE-BRONZE-CROSS-WITH-INSCRIPTIONS-ON-TWISTED-LOOP-CIRCA-700AD/153641495867?hash=item23c5bf2d3b%3Ag%3AJIwAAOSwrm5de3nW&LH_Auction=1
"Sep 22, 2019 LOT of 16pcs. ANCIENT ROMAN , BYZANTINE AND MEDIEVAL FINGER BRONZE RINGS+++",$0.99,"SALE, Morocco",stunningdeals05,https://www.ebay.com/itm/LOT-of-16pcs-ANCIENT-ROMAN-BYZANTINE-AND-MEDIEVAL-FINGER-BRONZE-RINGS/193098705111?hash=item2cf59468d7%3Ag%3AUNUAAOSwCCVdbXk%7E&LH_Auction=1
"Sep 22, 2019 MUSEUM QUALITY RARE BYZANTINE SILVER RING WITH CROSS IN BEZEL CIRCA. 700-1000 AD",$50.05,"Gisleham, United Kingdom",antiquitybox,https://www.ebay.com/itm/MUSEUM-QUALITY-RARE-BYZANTINE-SILVER-RING-WITH-CROSS-IN-BEZEL-CIRCA-700-1000-AD/264466355961?hash=item3d936c56f9%3Ag%3Aj0AAAOSwGVRdaS7x&LH_Auction=1
"Sep 22, 2019 ANCIENT BYZANTINE MEDIEVAL BRONZE BELT MOUNT FITTINGS 800-1200 AD VERY RARE",$2.75,"EU, France",shtil42-4,https://www.ebay.com/itm/ANCIENT-BYZANTINE-MEDIEVAL-BRONZE-BELT-MOUNT-FITTINGS-800-1200-AD-VERY-RARE/303286172602?hash=item469d43bbba%3Ag%3AXQAAAOSw-TldfpXQ&LH_Auction=1
"Sep 22, 2019 2958	Ancient Byzantine bronze two-piece belts of massive , red and green glass",$14.14,"London, United Kingdom",petronius_2008,https://www.ebay.com/itm/2958-Ancient-Byzantine-bronze-two-piece-belts-of-massive-red-and-green-glass/183951074851?hash=item2ad456a623%3Ag%3A-YYAAOSw8VVdeb0M&LH_Auction=1
"Sep 21, 2019 LOT of 5pcs. ANCIENT ROMAN , BYZANTINE AND MEDIEVAL FINGER RINGS+++",$38.00,"..................., Norway",aurelius1962,https://www.ebay.com/itm/LOT-of-5pcs-ANCIENT-ROMAN-BYZANTINE-AND-MEDIEVAL-FINGER-RINGS/323915725753?hash=item4b6ae1bbb9%3Ag%3AxjYAAOSwqxddYb2w&LH_Auction=1
"Sep 21, 2019 ANCIENT BYZANTINE POLYGONAL WEIGHT WITH RING AND DOT MOTIFS RARE",$50.41,"Didcot, United Kingdom",antiquiti,https://www.ebay.com/itm/ANCIENT-BYZANTINE-POLYGONAL-WEIGHT-WITH-RING-AND-DOT-MOTIFS-RARE/153643033363?hash=item23c5d6a313%3Ag%3AXeEAAOSwT1tdX678&LH_Auction=1
"Sep 21, 2019 ANTIQUE/ANCIENT ROMAN BYZANTINE DRAGON BEAST BRONZE STAMP SEAL ENGRAVED RELIC",$51.00,"San Diego, California, United States",dead-guy-stuff,https://www.ebay.com/itm/ANTIQUE-ANCIENT-ROMAN-BYZANTINE-DRAGON-BEAST-BRONZE-STAMP-SEAL-ENGRAVED-RELIC/293223446356?hash=item44457ab754%3Ag%3AdWIAAOSwxcZdeWYH&LH_Auction=1
"Sep 21, 2019 ANTIQUE/ANCIENT ROMAN BYZANTINE BRONZE STAMP SEAL ENGRAVED LETTERING RELIC",$23.05,"San Diego, California, United States",dead-guy-stuff,https://www.ebay.com/itm/ANTIQUE-ANCIENT-ROMAN-BYZANTINE-BRONZE-STAMP-SEAL-ENGRAVED-LETTERING-RELIC/293223432750?hash=item44457a822e%3Ag%3AJtwAAOSwyGxdeWQb&LH_Auction=1
